romantic comedy Q860626,fantasy film Q157394,dystopian films Q20443008,children’s film Q2143665,coming-of-age film (Q102429885),martial arts film (Q1033891),historical film ,Adventure films
https://zh.wikipedia.org/wiki/%E4%B8%80%E5%8D%8A%E6%B5%B7%E6%B0%B4%EF%BC%8C%E4%B8%80%E5%8D%8A%E7%81%AB%E7%87%84,https://zh.wikipedia.org/wiki/%E4%B8%80%E4%B8%87%E5%B9%B4%E4%BB%A5%E5%90%8E,https://zh.wikipedia.org/wiki/%E4%B8%80%E4%B9%9D%E5%85%AB%E5%9B%9B_(1956%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%83%E5%AE%9D%E5%A5%87%E8%B0%8B,https://zh.wikipedia.org/wiki/%E4%B8%80%E5%90%BB%E5%AE%9A%E6%B1%9F%E5%B1%B1,https://zh.wikipedia.org/wiki/%E4%B8%80%E4%B8%AA%E4%BA%BA%E7%9A%84%E6%AD%A6%E6%9E%97,https://zh.wikipedia.org/wiki/%E4%B8%80%E7%A7%92%E9%90%98,https://zh.wikipedia.org/wiki/X%E6%88%B0%E8%AD%A6%EF%BC%9A%E9%BB%91%E9%B3%B3%E5%87%B0
https://zh.wikipedia.org/wiki/%E4%B8%80%E5%90%BB%E5%AE%9A%E6%B1%9F%E5%B1%B1,https://zh.wikipedia.org/wiki/%E4%B8%80%E4%BA%BA%E6%9C%89%E4%B8%80%E9%BB%9E%E9%A1%8F%E8%89%B2,https://zh.wikipedia.org/wiki/%E4%B8%80%E4%B9%9D%E5%85%AB%E5%9B%9B_(1984%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%8A%E5%B8%9D%E4%B9%9F%E7%98%8B%E7%8B%82_(1980%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%80%E5%A4%AB%E7%95%B6%E9%97%9C_(%E5%8D%B0%E5%BA%A6%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%80%E4%BB%A3%E5%AE%97%E5%B8%AB,https://zh.wikipedia.org/wiki/%E4%B8%8D%E6%B3%95%E5%9C%8B%E7%8E%8B,https://zh.wikipedia.org/wiki/T-34%EF%BC%9A%E7%8E%A9%E5%91%BD%E5%9D%A6%E5%85%8B
https://zh.wikipedia.org/wiki/%E4%B8%80%E5%A4%9C%E6%83%8A%E5%96%9C,https://zh.wikipedia.org/wiki/%E4%B8%80%E5%8D%83%E9%9B%B6%E4%B8%80%E5%A4%9C_(1974%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%80%E4%BA%BA%E6%9C%89%E4%B8%80%E9%BB%9E%E9%A1%8F%E8%89%B2,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%8C%BF%E6%B3%B0%E5%B1%B1_(1999%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%87%E7%A6%8F%E7%8E%9B%E4%B8%BD%E4%BA%9A,https://zh.wikipedia.org/wiki/%E4%B8%80%E5%80%8B%E5%A5%BD%E4%BA%BA,https://zh.wikipedia.org/wiki/%E4%B8%B9%E9%A0%93_(1983%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/STAR_WARS%EF%BC%9A%E6%9C%80%E5%BE%8C%E7%9A%84%E7%B5%95%E5%9C%B0%E6%AD%A6%E5%A3%AB
https://zh.wikipedia.org/wiki/%E4%B8%80%E5%A4%9C%E8%BF%B7%E6%83%85,https://zh.wikipedia.org/wiki/%E4%B8%80%E5%8F%AA%E9%9E%8B,https://zh.wikipedia.org/wiki/%E4%BA%A1%E5%91%BD%E8%B3%BD%E8%BB%8A2000,https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%AD%9A%E5%85%AC%E4%B8%BB%E7%9A%84%E6%84%9B%E6%83%85%E9%AD%94%E6%B3%95,https://zh.wikipedia.org/wiki/%E4%B8%BA%E4%BA%BA%E5%B8%88%E8%A1%A8_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%80%E6%8B%9B%E5%8D%8A%E5%BC%8F%E9%97%96%E6%B1%9F%E6%B9%96,https://zh.wikipedia.org/wiki/%E4%B9%B1%E4%B8%96%E4%BD%B3%E4%BA%BA,https://zh.wikipedia.org/wiki/STAR_WARS%EF%BC%9A%E5%A4%A9%E8%A1%8C%E8%80%85%E7%9A%84%E5%B4%9B%E8%B5%B7
https://zh.wikipedia.org/wiki/%E4%B8%80%E5%A4%9C%E9%A2%A8%E6%B5%81,https://zh.wikipedia.org/wiki/%E4%B8%83%E4%BB%99%E5%A5%B3_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%A1%E5%91%BD%E8%B3%BD%E8%BB%8A2050,https://zh.wikipedia.org/wiki/%E5%85%92%E5%A5%B3%E4%B8%80%E7%B1%AE%E7%AD%90,https://zh.wikipedia.org/wiki/%E4%BA%8C%E5%8D%81%E8%A1%8C%E4%B8%8D%E8%A1%8C,https://zh.wikipedia.org/wiki/%E4%B8%80%E7%9C%89%E9%81%93%E4%BA%BA,https://zh.wikipedia.org/wiki/%E4%BA%82%E4%B8%96%E5%85%92%E5%A5%B3_(1975%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/Macross_Dynamite_7
https://zh.wikipedia.org/wiki/%E4%B8%80%E8%B7%AF%E6%83%8A%E5%96%9C,https://zh.wikipedia.org/wiki/%E4%B8%83%E7%A3%85,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%8C%BF%E6%98%9F%E7%90%83_(1968%E5%B9%B4%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E5%85%A9%E9%9A%BB%E8%80%81%E8%99%8E_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%94%9F%E4%B8%8D%E5%86%8D%E9%87%8D%E6%9D%A5,https://zh.wikipedia.org/wiki/%E4%B8%83%E9%BE%8D%E7%8F%A0%E8%B6%85_%E8%B6%85%E7%B4%9A%E8%8B%B1%E9%9B%84,https://zh.wikipedia.org/wiki/%E4%BA%9E%E6%AD%B7%E5%B1%B1%E5%A4%A7%C2%B7%E6%B6%85%E5%A4%AB%E6%96%AF%E5%9F%BA_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/2001%E5%A4%AA%E7%A9%BA%E6%BC%AB%E9%81%8A_(%E9%9B%BB%E5%BD%B1)
https://zh.wikipedia.org/wiki/%E4%B8%83%E5%B9%B4%E4%B9%8B%E7%97%92_(%E7%94%B5%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%83%E9%BE%8D%E7%8F%A0_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%B1%BB%E6%B8%85%E9%99%A4%E8%AE%A1%E5%88%923,https://zh.wikipedia.org/wiki/%E5%89%B2%E5%96%89%E5%B2%9B,https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%AD%9A%E5%85%AC%E4%B8%BB%E7%9A%84%E6%84%9B%E6%83%85%E9%AD%94%E6%B3%95,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%9C%8B%E4%B9%8B%E8%A6%8B%E9%BE%8D%E5%8D%B8%E7%94%B2,https://zh.wikipedia.org/wiki/%E4%BA%B2%E7%88%B1%E7%9A%84%E5%90%8C%E5%BF%97,https://zh.wikipedia.org/wiki/007%EF%BC%9A%E6%83%A1%E9%AD%94%E5%9B%9B%E4%BC%8F
https://zh.wikipedia.org/wiki/%E4%B8%83%E6%97%A5%E4%B9%8B%E7%99%A2,https://zh.wikipedia.org/wiki/%E4%B8%83%E9%BE%8D%E7%8F%A0%E8%B6%85_%E8%B6%85%E7%B4%9A%E8%8B%B1%E9%9B%84,https://zh.wikipedia.org/wiki/%E4%BA%BA%E9%A1%9E%E4%B9%8B%E5%AD%90,https://zh.wikipedia.org/wiki/%E5%8A%87%E5%A0%B4%E7%89%88_%E6%97%8B%E9%A2%A8%E7%AE%A1%E5%AE%B6_HEAVEN_IS_A_PLACE_ON_EARTH,https://zh.wikipedia.org/wiki/%E4%BB%8A%E6%99%9A%E5%B8%B6%E6%88%91%E5%9B%9E%E5%AE%B6,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%B0%91%E7%88%BA%E7%9A%84%E5%8A%8D_(2016%E5%B9%B4%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%94%9F%E5%8B%9D%E5%88%A9%E7%B5%84,https://zh.wikipedia.org/wiki/%E9%BE%99%E7%89%8C%E4%B9%8B%E8%B0%9C
https://zh.wikipedia.org/wiki/%E4%B8%83%E7%BA%A7%E5%85%AC%E5%8A%A1%E5%91%98,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%8D%83%E5%B9%B4%E7%9A%84%E6%B8%B4%E6%9C%9B,https://zh.wikipedia.org/wiki/%E5%80%A9%E5%BD%B1%E5%88%BA%E5%AE%A2,https://zh.wikipedia.org/wiki/%E5%8A%87%E5%A0%B4%E7%89%88%E7%BE%8E%E5%B0%91%E5%A5%B3%E6%88%B0%E5%A3%ABSuperS,https://zh.wikipedia.org/wiki/%E4%BC%B4%E6%88%91%E5%90%8C%E8%A1%8C_(%E9%9B%BB%E5%BD%B1),https://zh.wikipedia.org/wiki/%E4%B8%89%E9%87%8D%E5%A8%81%E8%84%85%E4%B9%8B%E8%B7%A8%E5%9C%8B%E5%A4%A7%E7%87%9F%E6%95%91,https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%A5%9E%E4%B9%8B%E9%96%93,https://zh.wikipedia.org/wiki/%E9%BE%99%E4%B9%8B%E6%88%98
https://zh.wikipedia.org/wiki/%E4%B8%89%E4%B8%AA%E6%9C%AA%E5%A9%9A%E5%A6%88%E5%A6%88,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%A4%A7%E6%80%AA%E7%8D%B8_%E5%9C%B0%E7%90%83%E6%9C%80%E5%A4%A7%E6%B1%BA%E6%88%B0,https://zh.wikipedia.org/wiki/%E5%81%87%E9%9D%A2%E9%A8%8E%E5%A3%AB555_%E6%B6%88%E5%A4%B1%E7%9A%84%E5%A4%A9%E5%A0%82,https://zh.wikipedia.org/wiki/%E5%8A%9F%E5%A4%AB%E6%A2%A6,https://zh.wikipedia.org/wiki/%E4%BD%95%E6%97%A5%E5%8D%BF%E5%86%8D%E4%BE%86,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E7%81%98%E5%8D%81%E4%B8%89%E5%A4%AA%E4%BF%9D,https://zh.wikipedia.org/wiki/%E4%BB%96%E4%BB%AC%E5%B7%B2%E4%B8%8D%E5%86%8D%E5%8F%98%E8%80%81,https://zh.wikipedia.org/wiki/%E9%BE%99%E4%B8%8E%E5%9C%B0%E4%B8%8B%E5%9F%8E_(%E7%94%B5%E5%BD%B1)
